2025-10-27 10:50:00+00:00;0.20315;0.20325;0.20285;0.20293;2321305.0;471440.17822;0.20454291666666669;0.001788624763887132;0.2049006416194441;0.20418519171388927;53.0361184922744;-491.90320840557484;bear;;
2025-10-27 10:55:00+00:00;0.20293;0.20293;0.20269;0.20285;3769386.0;764349.25439;0.20443750000000002;0.0017342402836957168;0.20478434805673917;0.20409065194326087;52.99960660896932;-247.947932567334;bear;;
2025-10-27 11:00:00+00:00;0.20285;0.2033;0.2028;0.20302;4275172.0;868580.45391;0.20433479166666665;0.001666452455172885;0.20466808215770124;0.20400150117563207;53.15111591780553;347.45177707775576;bull;;
2025-10-27 11:05:00+00:00;0.20302;0.20328;0.20291;0.20315;1456548.0;295805.65038;0.20424729166666666;0.0016142104842551618;0.2045701337635177;0.20392444956981562;53.19713191238582;285.0307048390203;bull;;
2025-10-27 11:10:00+00:00;0.20315;0.20344;0.20313;0.20319;1913920.0;389080.53149;0.20416458333333332;0.0015626790393526348;0.20447711914120384;0.2038520475254628;53.236420783812996;12.646238609310242;neutral;;
2025-10-27 11:15:00+00:00;0.20319;0.20344;0.20266;0.20268;2415626.0;490498.03526;0.20406854166666666;0.0015071841993874898;0.20436997850654415;0.20376710482678917;52.96187683284458;-802.23706062015;bear;;
2025-10-27 11:25:00+00:00;0.20197;0.20231;0.20196;0.20231;2369990.0;479208.0952;0.20385395833333333;0.0013935394085648055;0.2041326662150463;0.20357525045162037;52.64740108611327;930.4027521861602;bull;;
2025-10-27 11:30:00+00:00;0.20231;0.2027;0.2021;0.20261;3906193.0;790685.17854;0.20376312500000002;0.00132659724078248;0.20402844444815652;0.20349780555184352;499.12584868616625;bull;;52.943458442440125;
2025-10-27 11:35:00+00:00;0.20261;0.20326;0.20256;0.20305;19967839.0;4054097.51339;0.203711875;0.0013050175774867905;0.20397287851549734;0.20345087148450264;772.9756069530624;bull;bull_8638;53.07543520309478;buy
2025-10-27 11:40:00+00:00;0.20305;0.20389;0.20302;0.20353;29440438.0;5993016.02496;0.20365979166666667;0.0012596309651360436;0.2039117178596939;0.20340786547363945;783.5296485345817;bull;bull_8637;53.44145187759437;
2025-10-27 11:45:00+00:00;0.20353;0.20361;0.20308;0.2031;2023676.0;411406.95681;0.203598125;0.0012111479629622597;0.20384035459259245;0.20335589540740753;-676.6266675055848;bear;;53.16199826739821;
2025-10-27 11:50:00+00:00;0.2031;0.20316;0.20278;0.203;4526339.0;918706.5225;0.20353770833333332;0.0011653439626600013;0.2037707771258653;0.20330463954080133;-169.55151412920628;bear;;53.238866396761146;
